name,description,url,image_url
WGX-FIX - Piastra angolare se…,"WGX-FIX - Piastra angolare semplice inox - in acciaio inox A4 certificata ETA-09/0312
idoneo come giunzione su elementi in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati",https://www.unishop.it/40x40x40/0685-110-262-01,https://www.unishop.it/media/5f/a2/c4/1742242223/0685-110-262_MAINPIC_high.webp
WF-FIX - Piastra angolare ner…,"WF-FIX - Piastra angolare nervata a doppia foratura - in acciaio zincato a fuoco certificata ETA-09/0355
idoneo come giunzione su elementi in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati o viti per legno TE",https://www.unishop.it/80x50x30/0685-109-279-01,https://www.unishop.it/media/c2/f5/6f/1742242231/0685-109-278_MAINPIC_high.webp
KR-FIX - Piastra angolare a d…,"KR-FIX - Piastra angolare a doppio rinforzo - in acciaio zincato a fuoco ad alta protezione certificata ETA-13/1060
idonea per raccordo di travi in legno su calcestruzzo, murature o acciaio.
Il bordo piegato assicura alta tenuta e la rende idonea anche per collegamenti di elementi di sostegno.
Fissaggio mediante chiodi per carpenteria zigrinati, tasselli metallici pesanti, resine chimiche con barre filettate, viti multi-monti.
Foro ovale 13.5 x 24.5 mm",https://www.unishop.it/95x90x65/0685-109-294-01,https://www.unishop.it/media/65/31/12/1742242238/0685-109-294_MAINPIC_high.webp
Piastra angolare a 135°,"Piastra angolare a 135° - in acciaio zincato a fuoco certificata ETA-09/0355
idonea come giunzione raccordo di elementi strutturali in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati o viti Ruspert®Silver (art. 0196 8..)",https://www.unishop.it/50x50x40/0685-109-370-01,https://www.unishop.it/media/30/06/26/1742242245/0685-109-370_MAINPIC_high.webp
Piastra diritta a T,"Piastra diritta a T - in acciaio zincato a fuoco idonea come giunzione su elementi in legno sottoposti a carichi limitati e dove non è richiesto certificato di idoneità statica.
Fissaggio mediante chiodi per carpenteria zigrinati o viti Ruspert®Silver (art. 0196 8..)",https://www.unishop.it/80/0685-109-229-01,https://www.unishop.it/media/a4/f1/a5/1742242252/0685-109-229_MAINPIC_high.webp
Ancoraggio laterale universale,"Ancoraggio laterale universale - in acciaio zincato a fuoco certificato ETA-14/0105
idoneo per fissaggio punti di intersezione di elementi in legno o fissaggio di arcarecci su architravi.
Possibilità di montaggio sia sul lato destro che sinistro. 
Fissaggio mediante chiodi per carpenteria zigrinati",https://www.unishop.it/36x170/0685-109-341-01,https://www.unishop.it/media/6c/34/f4/1742242257/0685-109-341_MAINPIC_high.webp
Piastra dritta rettangolare,"Piastra dritta rettangolare - in acciaio zincato a fuoco marcata CE secondo EN 14545 
idonea come giunzione su elementi in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati",https://www.unishop.it/55x140/0685-109-232-01,https://www.unishop.it/media/07/22/95/1742242266/0685-109-231_MAINPIC_high.webp
Piastra dritta rettangolare a…,"Piastra dritta rettangolare angoli 45° - in acciaio zincato a fuoco marcata CE secondo EN 14545 
idonea come giunzione su elementi in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati",https://www.unishop.it/65x175/0685-109-233-01,https://www.unishop.it/media/5d/89/2f/1742242274/0685-109-233_MAINPIC_high.webp
Piastra dritta rettangolare i…,"Piastra dritta rettangolare inox - in acciaio inox A4 idonea come giunzione su elementi in legno sottoposti a carichi limitati e dove non è richiesto certificato di idoneità statica.
Fissaggio mediante chiodi per carpenteria zigrinati o viti Ruspert®Silver (art 0196 8..)",https://www.unishop.it/35x100/0685-110-231-01,https://www.unishop.it/media/84/6b/df/1742242279/0685-110-231_MAINPIC_high.webp
Piastra dritta rettangolare,"Piastra dritta rettangolare - in acciaio zincato a fuoco marcata CE secondo EN 14545 
idonea come giunzione su elementi in legno sottoposti a carichi limitati.
Fissaggio mediante chiodi per carpenteria zigrinati",https://www.unishop.it/80x300/0685-109-248-01,https://www.unishop.it/media/20/e1/8a/1742242282/0685-109-241_MAINPIC_high.webp
Nastro forato pesante,"Nastro forato pesante - in acciaio zincato a fuoco certificato DIN EN 14545:2008
sistema di irrigidimento e controventamento diagonale per tetti, pareti e giunzioni legno/legno.
Il nastro forato viene ovunque applicata dove sia impossibile utilizzare controventature convenzionali in legno per stabilizzare la struttura del tetto.
Alta resistenza grazie alle nervature di rinforzo dei bordi smussati, fissaggio mediante chiodi per carpenteria zigrinati.",https://www.unishop.it/40x50-mt/0685-109-352-01,https://www.unishop.it/media/8d/d9/d8/1742242292/0685-109-352_MAINPIC_high.webp
Leggera,"Piastre fissaggio angolare leggere, fascettate - squadretta d’assemblaggio",https://www.unishop.it/20x20x50/2683-274-100-01,https://www.unishop.it/media/49/25/3d/1742234576/2683-274-100_MAINPIC_high.webp
Angoli di rinforzo,Angoli di rinforzo - in acciaio zincato,https://www.unishop.it/60x60x12/0683-638-01,https://www.unishop.it/media/8d/60/cf/1742242303/0683-635_MAINPIC_high.webp
Lastrine forate con cod. EAN,Lastrine forate con cod. EAN - in acciaio zincato,https://www.unishop.it/15x250/2759-871-250-01,https://www.unishop.it/media/d0/91/70/1742234578/0759-871-200_MAINPIC_high.webp
Quadrata,Piastre di fissaggio diritte leggere - in ferro zincato,https://www.unishop.it/45x45/0683-270-01,https://www.unishop.it/media/05/35/5c/1742242360/0683-270_MAINPIC_high.webp
Quadrata,"Piastre di fissaggio diritte leggere, fascettate - in ferro zincato",https://www.unishop.it/45x45/2683-270-01,https://www.unishop.it/media/cb/0e/89/1742242371/2683-270_MAINPIC_high.webp
Leggera,Piastre fissaggio angolare leggere - squadretta d’assemblaggio,https://www.unishop.it/20x20x50/0683-274-100-01,https://www.unishop.it/media/f5/76/1a/1742234575/0683-274-100_MAINPIC_high.webp
Rettangolare,Piastre di fissaggio diritte leggere - in ferro zincato,https://www.unishop.it/35x70/0683-271-01,https://www.unishop.it/media/6c/2d/29/1742234571/0683-271_MAINPIC_high.webp
Rinforzata,Piastre fissaggio angolare leggere - squadretta d’assemblaggio,https://www.unishop.it/19x19x37/0683-274-200-01,https://www.unishop.it/media/20/ca/a9/1742242381/0683-274-200_MAINPIC_high.webp
Rettangolare,"Piastre di fissaggio diritte leggere, fascettate - in ferro zincato",https://www.unishop.it/35x70/2683-271-01,https://www.unishop.it/media/da/1d/27/1742234573/2683-271_MAINPIC_high.webp
Rinforzata,"Piastre fissaggio angolare leggere, fascettate - squadretta d’assemblaggio",https://www.unishop.it/19x19x37/2683-274-200-01,https://www.unishop.it/media/b1/5b/78/1742242397/2683-274-200_MAINPIC_high.webp
Lastrine forate rinforzate,Lastrine forate rinforzate - in acciaio zincato,https://www.unishop.it/20x300/0759-881-300-02,https://www.unishop.it/media/d0/91/70/1742234578/0759-871-200_MAINPIC_high.webp
"Angoli di rinforzo, fascettati","Angoli di rinforzo, fascettati - in acciaio zincato, con codice EAN",https://www.unishop.it/50x50x12/2683-637-01,https://www.unishop.it/media/12/b9/7d/1742242310/2683-635_MAINPIC_high.webp
Rinforzata doppia diritta,"Piastre fissaggio angolare leggere, fascettate - squadretta d’assemblaggio",https://www.unishop.it/40x40x30/2683-275-40-01,https://www.unishop.it/media/77/00/90/1742242399/2683-275-50_MAINPIC_high.webp
Rinforzata doppia diritta,Piastre fissaggio angolare leggere - squadretta d’assemblaggio,https://www.unishop.it/80x80x30/0683-275-80-01,https://www.unishop.it/media/80/d4/e6/1742242384/0683-275-50_MAINPIC_high.webp
Lastrine diritte,Lastrine diritte - in acciaio zincato,https://www.unishop.it/15x140/0683-661-01,https://www.unishop.it/media/a6/67/88/1742242318/0683-656_MAINPIC_high.webp
Rettangolare diritta,"Piastre di fissaggio diritte leggere, fascettate - in ferro zincato",https://www.unishop.it/30x80/2683-276-830-01,https://www.unishop.it/media/97/df/e2/1742242374/2683-276-630_MAINPIC_high.webp
Lastrine forate rinforzate co…,Lastrine forate rinforzate con cod. EAN - in acciaio zincato,https://www.unishop.it/20x300/2759-881-300-01,https://www.unishop.it/media/d0/91/70/1742234578/0759-871-200_MAINPIC_high.webp
Rettangolare diritta,Piastre di fissaggio diritte leggere - in ferro zincato,https://www.unishop.it/30x80/0683-276-830-01,https://www.unishop.it/media/75/c6/ec/1742242365/0683-276-630_MAINPIC_high.webp
Rettangolare rinforzata,"Piastre di fissaggio diritte leggere, fascettate - in ferro zincato",https://www.unishop.it/40x90/2683-269-100-01,https://www.unishop.it/media/1f/5a/33/1742242376/2683-269-100_MAINPIC_high.webp
"Lastrine diritte, fascettate","Lastrine diritte, fascettate - in acciaio zincato, con codice EAN",https://www.unishop.it/15x80/2683-658-01,https://www.unishop.it/media/7e/5b/ef/1742242325/2683-656_MAINPIC_high.webp
Rettangolare rinforzata,Piastre di fissaggio diritte leggere - in ferro zincato,https://www.unishop.it/40x90/0683-269-100-01,https://www.unishop.it/media/38/18/a0/1742242368/0683-269-100_MAINPIC_high.webp
Rinforzata doppia,Piastre fissaggio angolare leggere - squadretta d’assemblaggio,https://www.unishop.it/48x48x40/0683-274-300-01,https://www.unishop.it/media/2c/fd/3f/1742242387/0683-274-300_MAINPIC_high.webp
Rinforzata doppia,"Piastre fissaggio angolare leggere, fascettate - squadretta d’assemblaggio",https://www.unishop.it/30x30x30/2683-274-30-01,https://www.unishop.it/media/77/fb/4f/1742242403/2683-274-30_MAINPIC_high.webp
Mini,Piastre fissaggio angolare leggere - squadretta d’assemblaggio,https://www.unishop.it/25x22x21/0683-273-01,https://www.unishop.it/media/43/8a/79/1742242390/0683-273_MAINPIC_high.webp
Angoli di rinforzo,Angoli di rinforzo - in acciaio zincato,https://www.unishop.it/angoli-di-rinforzo/e533970b-bf80-4328-92e3-ffffad04e37a,https://www.unishop.it/media/8d/60/cf/1742242303/0683-635_MAINPIC_high.webp
"Angoli di rinforzo, fascettati","Angoli di rinforzo, fascettati - in acciaio zincato, con codice EAN",https://www.unishop.it/angoli-di-rinforzo-fascettati/dab8c78c-f860-4f6a-aec9-5acbac38b870,https://www.unishop.it/media/12/b9/7d/1742242310/2683-635_MAINPIC_high.webp
Lastrine diritte,Lastrine diritte - in acciaio zincato,https://www.unishop.it/lastrine-diritte/f522b868-411b-4e17-bcbf-5cbf79f4673f,https://www.unishop.it/media/a6/67/88/1742242318/0683-656_MAINPIC_high.webp
"Lastrine diritte, fascettate","Lastrine diritte, fascettate - in acciaio zincato, con codice EAN",https://www.unishop.it/lastrine-diritte-fascettate/36b8712c-05c4-4cf3-b289-86164614ef38,https://www.unishop.it/media/7e/5b/ef/1742242325/2683-656_MAINPIC_high.webp
Lastrine angolari,Lastrine angolari - in acciaio,https://www.unishop.it/lastrine-angolari/17b8db81-137a-4e8b-8c05-29df47efe149,https://www.unishop.it/media/90/08/e5/1742242331/0683-272-30_MAINPIC_high.webp
"Lastrine angolari, fascettate","Lastrine angolari, fascettate - in acciaio",https://www.unishop.it/lastrine-angolari-fascettate/70a843ed-9684-465c-93d3-7f68e04b7350,https://www.unishop.it/media/d5/70/9d/1742242333/2683-272-30_MAINPIC_high.webp
Lastrine angolari piegate,Lastrine angolari piegate - in acciaio,https://www.unishop.it/lastrine-angolari-piegate/fd1a0ce8-f841-4fd0-9eb5-db3dc4d47f44,https://www.unishop.it/media/50/89/12/1742242335/0683-272-17_MAINPIC_high.webp
