name,description,url,image_url
Vite legno Combi,"Vite legno Combi - vite strutturale per legno idonea per il fissaggio di strutture in legno da esterno, pergolati, gazebo, recinzioni, scale in legno, strutture per gioco e tempo libero
 
certificata ETA-12/0373
classe di reazione al fuoco A1, secondo EN 13501
testa esagonale con rinforzo sottotesta
impronta TX
filetto singolo a passo rapido
filetto fresante centrale per riduzione sforzo di avvitamento
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
trattamento superficiale a base di cera lubrificante
zincata bianca",https://www.unishop.it/10x140/0190-10-140-01,https://www.unishop.it/media/0e/c4/b1/1742240181/0190-10-100_MAINPIC_high.webp
Vite SPARK,"Vite SPARK - vite strutturale per legno uso professionale - THE LOW ENERGY SCREW FOR WOOD l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali 
certificata EN 14592:2008 + A1:2012
classe di reazione al fuoco A1, secondo EN 13501
testa autosvasante conica con collo a doppio rinforzo e impronta TX
filetto doppio HiLo a passo grosso per una maggiore velocità di avvitamento
il tratto filettato del gambo è sagomato a gradini “Stairs”
il movimento oscillatorio durante l’avvitamento garantisce un minor attrito e consente di lavorare con minor sforzo e minor dispendio di energie per uomo e utensili
punta speciale – allargamento delle fibre di legno, senza taglio o fresatura come nelle viti tradizionali con fresa
punta T-Rex dentellata ad alto potere di penetrazione
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
trattamento superficiale a base di cera lubrificante
zincata gialla
nessun preforo, nessuna scheggiatura, nessuna svasatura necessaria
in scatola “premium” con doppia apertura
1 inserto incluso in ogni confezione",https://www.unishop.it/vite-spark/13838059-3f2c-426e-ac60-50d88fd13a4c,https://www.unishop.it/media/e1/3b/13/1742239910/0161-906-100_MAINPIC_high.webp
Vite 2FX Duofix EVO,"Vite 2FX Duofix EVO - vite strutturale per legno uso professionale l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali
 certificata EN 14592:2008 + prA1:2012classe di reazione al fuoco A1, secondo EN 13501testa autosvasante conica con collo a doppio rinforzoimpronta TXfiletto doppio HiLo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta T-Rex dentellata ad alto potere di penetrazionetrattamento superficiale a base di cera lubrificantezincata giallanessun preforo, nessuna scheggiatura, nessuna svasatura necessariain scatola “premium” con doppia apertura1 inserto incluso in ogni confezione",https://www.unishop.it/vite-2fx-duofix-evo/0f3b6cdd-301c-4418-adf4-f8eb2a38ed8e,https://www.unishop.it/media/15/1d/ae/1742239993/0160-906-100_MAINPIC_high.webp
Vite 2FX Evo OUTDOOR,"Vite 2FX Evo OUTDOOR - vite per legno strutturale ideale pe ambienti esterni l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali.
La vite è adatta inoltre per legni aggressivi con acidi tannici
(come castagno e rovere) e legni impregnati e/o trattati chimicamente 
certificata EN 14592:2008 + prA1:2012
classe di reazione al fuoco A1, secondo EN 13501
testa autosvasante conica con collo a doppio rinforzo
impronta TX
filetto doppio HiLo a passo rapido
filetto fresante centrale per ridurre lo sforzo di avvitamento
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
punta T-Rex dentellata ad alto potere di penetrazione
trattamento superficiale anticorrosione DLS-1000
rivestimento multistrato 20 µm (micron) di giallo galvanizzato, “flakes” di alluminio e resine epossidiche.
aspetto visivo grigio chiaro
resistenza di 1000 ore nel test di nebbia salina secondo EN ISO 9227
classe di corrosività alta C4 (secondo UNI EN ISO 12944).
nessuna scheggiatura, nessuna svasatura necessaria
in scatola “premium” con doppia apertura
1 inserto incluso in ogni confezione",https://www.unishop.it/vite-2fx-evo-outdoor/a15c6b4c-b6c0-4e7e-894f-77bd725a4699,https://www.unishop.it/media/65/fb/9a/1742240083/0160-760-100_MAINPIC_high.webp
Vite GPR Stardrive,"Vite GPR Stardrive - vite strutturale per legno idonea per impieghi di carpenteria
fissaggio di elementi in legno portanti e strutturali
 certificata ETA-12/0373classe di reazione al fuoco A1, secondo EN 13501testa autosvasante conica con collo a doppio rinforzoimpronta TXfiletto singolo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperatopunta certificata a doppio filetto ad alta velocità di penetrazionetrattamento superficiale a base di cera lubrificantezincata giallanessun preforo, nessuna scheggiatura, nessuna svasatura necessaria1 inserto incluso in ogni confezione",https://www.unishop.it/vite-gpr-stardrive/73dce36b-455a-4e46-b822-304bd43cfcb9,https://www.unishop.it/media/20/55/23/1742240110/0150-060-100_MAINPIC_high.webp
Vite VG Stardrive,"Vite VG Stardrive - vite per congiunzione travi in legno contrapposte idonea per costruzioni in legno lamellare, prefabbricati in legno, solai e carpenteria legno
 
certificata ETA-12/0373
classe di reazione al fuoco A1, secondo EN 13501
testa ridotta
impronta TX
filetto intero a passo grosso
prodotta con acciaio al carbonio temperato
trattamento superficiale a base di cera lubrificante
nessun preforo, nessuna scheggiatura, nessuna svasatura necessaria",https://www.unishop.it/viteria/viti-strutturali/vite-vg-stardrive/,https://www.unishop.it/media/87/88/70/1742234495/0155-118-160_MAINPIC_high.webp
Rondella per viti carpenteria,Rondella per viti carpenteria - in acciaio zincato giallo,https://www.unishop.it/rondella-per-viti-carpenteria/4b3b7d48-7097-4cb3-a029-6bda00740f5a,https://www.unishop.it/media/2c/61/eb/1742240142/0160-060_MAINPIC_high.webp
Vite SAF Simply Rewind,"Vite SAF Simply Rewind - autoforante per giunzioni invisibili legno alluminio/acciaio idonei per fissaggi invisibili legno – ALUFIX con anima piena / acciaio
permette un fissaggio solidale della vite all’anima metallica
 certificata CE EN14592:2008 + prA1:2012testa autosvasante a diametro ridotto che evita di effettuare fresatura per inserire il tappo in legno con Ø15 mmfiletto centrale Rewind™ a tripla spirale elicoidale che permette la rimozione della vite stessapunta fresante certificata progettata per penetrare facilmente nel legno e nel metallo, polverizzando il trucioloresistenza al fuoco R60 con utilizzo di tappi in legno con spessore min. 40mm",https://www.unishop.it/vite-saf-simply-rewind/76331dd4-9b79-4162-8265-ff4fef2d19d3,https://www.unishop.it/media/df/b9/21/1742240147/0685-007-075_MAINPIC_high.webp
Vite UHB,"Vite UHB - vite distanziale per legno a doppio filetto idonea per realizzazione di pacchetti isolanti e per impieghi strutturali e non strutturali in legno massiccio
 certificata ETA-12/0197classe di reazione al fuoco A1, secondo EN 13501testa cilindrica ridottaimpronta TX40doppio filetto: sottotesta 70mm, punta 59mmalette raschianti centrali per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta speciale che evita rottura delle fibre del legnotrattamento superficiale a base di cera lubrificantezincata biancanessun preforo, nessuna scheggiatura, nessuna svasatura necessaria",https://www.unishop.it/vite-uhb/51c07c1a-5410-4e0b-a233-9dda932d264c,https://www.unishop.it/media/73/0e/dd/1742240158/0154-8-230_MAINPIC_high.webp
Vite RED2FIX,"Vite RED2FIX - vite per solai collaboranti legno-calcestruzzo idonea per ristrutturazione dei solai in legno e per il recupero edilizio di solai in edifici storici ed antichi.
Adegua le vecchie costruzioni ai nuovi carichi richiesti dalle normative nazionali e comunitarie.
 certificata ETA-18/0829omologata secondo Z-9.1-845 per la realizzazione di solai collaboranti legno-calcestruzzoclasse di reazione al fuoco A1, secondo EN 13501testa esagonale con rinforzo sottotestaimpronta TXfiletto singolo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta certificata a doppio filetto ad alta velocità di penetrazionezincata e rivestita da trattamento speciale RED ad altissima resistenza alla corrosionenessun preforo necessario",https://www.unishop.it/vite-red2fix/c5a8ee87-a0bf-46d5-884b-aee89a5a1781,https://www.unishop.it/media/25/7a/35/1742240170/0191-8-155_MAINPIC_high.webp
