name,brand,description,price,image_url,product_page_url
ELIWALL LINK,Fassa Bortolo,Connettore in acciaio inox AISI 304 per il collegamento a “T” tra barre elicoidali FASSA ELIWALL di diametro 6 mm installate nei giunti di allettamento e barre di diametro 10 mm installate a secco,N/A,https://www.fassabortolo.it/documents/10179/2928903/ELIWALL_LINK.jpg/1a3ae2c9-1873-45e8-b468-1b54b12e9340,https://www.fassabortolo.it/it/prodotti/-/p/6/4588/malte-e-accessori-per-il-consolidamento/eliwall-link-connettore-in-acciaio-inox-aisi-304-per-il-collegamento-a-t-tra-barre-elicoidali-fassa-eliwall-di-diametro-6-mm-installate-nei-giunti-di-allettamento-e-barre-di-diametro-10-mm-installate-a-secco
BUSSOLA RETINATA,Fassa Bortolo,Bussola retinata realizzata con una rete in acciaio zincato,N/A,https://www.fassabortolo.it/documents/10179/4024383/BUSSOLA_RETINATA.jpg/12f57f8f-3740-47d3-9c50-03460c828f63,https://www.fassabortolo.it/it/prodotti/-/p/6/5143/malte-e-accessori-per-il-consolidamento/bussola-retinata-bussola-retinata-realizzata-con-una-rete-in-acciaio-zincato
FASSA EPOXY 100,Fassa Bortolo,Resina epossidica bicomponente fluida per primerizzazione e iniezioni,N/A,https://www.fassabortolo.it/documents/10179/1247320/Fassa_EPOXY_100.jpg/ee85d6b8-32b6-490e-91c5-f161092ecdf7,https://www.fassabortolo.it/it/prodotti/-/p/6/4550/resine/fassa-epoxy-100-resina-epossidica-bicomponente-fluida-per-primerizzazione-e-iniezioni
FASSA EPOXY 200,Fassa Bortolo,Adesivo epossidico per l'impregnazione e l'incollaggio nei sistemi di rinforzo FASSATEX CARBON SYSTEM e FASSATEX GLASS SYSTEM e per l'impregnazione dei connettori della linea FASSAWRAP,N/A,https://www.fassabortolo.it/documents/10179/1506754/Fassa_EPOXY_200.jpg/bc218102-3528-40fe-b361-fee3ab8b797d,https://www.fassabortolo.it/it/prodotti/-/p/6/4551/resine/fassa-epoxy-2-adesivo-epossidico-per-limpregnazione-e-lincollaggio-nei-sistemi-di-rinforzo-fassatex-carbon-system-e-fassatex-glass-system-e-per-limpregnazione-dei-connettori-della-linea-fassawrap
FASSA EPOXY 400,Fassa Bortolo,"Stucco epossidico per la regolarizzazione di superfici, l'incollaggio strutturale e per la realizzazione di sistemi di rinforzo FASSAPLATE CARBON SYSTEM",N/A,https://www.fassabortolo.it/documents/10179/1386808/Fassa_EPOXY_400.jpg/eaf4f164-446d-4ef0-898f-0b0cdd5272ca,https://www.fassabortolo.it/it/prodotti/-/p/6/4552/resine/fassa-epoxy-400-stucco-epossidico-bicomponente-per-la-regolarizzazione-e-lincollaggio-strutturale
FASSA ANCHOR V,Fassa Bortolo,Fissaggio chimico a base di resina vinilestere senza stirene per carichi strutturali,N/A,https://www.fassabortolo.it/documents/10179/544224/FASSA_ANCHOR_V_400ml.jpg/b0386a1b-5089-469d-b8d2-46a9fbbfd575,https://www.fassabortolo.it/it/prodotti/-/p/6/4560/resine/fassa-anchor-v-fissaggio-chimico-a-base-di-resina-vinilestere-senza-stirene
PISTOLA PER FASSA ANCHOR V,Fassa Bortolo,Pistola per applicazione di FASSA ANCHOR V,N/A,https://www.fassabortolo.it/documents/10179/579549/Pistola_FASSA_ANCHOR_V.jpg/434a3a93-636e-43df-949d-0363d9201793,https://www.fassabortolo.it/it/prodotti/-/p/6/4561/resine/fassacut-rock-taglierina-extm-per-polistirolo
FASSANET ARG SYSTEM,Fassa Bortolo,"Sistema di rinforzo CRM per elementi strutturali in muratura composto da una rete e da elementi angolari in fibra di vetro AR, da connettori preformati a forma di L e da specifiche malte fibrorinforzate",N/A,https://www.fassabortolo.it/documents/10179/2929996/FASSANET_ARG_SYSTEM.jpg/1f9d5d09-c47f-4b4d-a716-a75c943ede80,https://www.fassabortolo.it/it/prodotti/-/p/6/4592/sistemi-crm-e-prodotti-complementari/fassanet-arg-system-sistema-di-rinforzo-crm-per-elementi-strutturali-in-muratura-composto-da-una-rete-e-da-elementi-angolari-in-fibra-di-vetro-ar-da-connettori-preformati-a-forma-di-l-e-da-specifiche-malte-fibrorinforzate
FASSANET SOLID SYSTEM,Fassa Bortolo,"Sistema di rinforzo CRM per elementi strutturali in muratura composto da una rete e da elementi angolari in fibra di vetro AR, da connettori preformati a forma di L e da specifiche malte fibrorinforzate",N/A,https://www.fassabortolo.it/documents/10179/2960206/FASSANET_SOLID_SYSTEM.jpg/025ad275-4125-4c45-a0a2-64f7c0f37b60,https://www.fassabortolo.it/it/prodotti/-/p/6/4630/sistemi-crm-e-prodotti-complementari/fassanet-solid-system-sistema-di-rinforzo-crm-per-elementi-strutturali-in-muratura-composto-da-una-rete-e-da-elementi-angolari-in-fibra-di-vetro-ar-da-connettori-preformati-a-forma-di-l-e-da-specifiche-malte-fibrorinforzate
FASSANET SOLID MAXI SYSTEM,Fassa Bortolo,"Sistema di rinforzo CRM per elementi strutturali in muratura composto da una rete e da elementi angolari in fibra di vetro AR, da connettori preformati a forma di L e da specifiche malte fibrorinforzate",N/A,https://www.fassabortolo.it/documents/10179/4263307/FASSANET_SOLID_MAXI_SYSTEM.jpg/1875a8ce-974f-40d5-bb51-59b9ea3bef45,https://www.fassabortolo.it/it/prodotti/-/p/6/5144/sistemi-crm-e-prodotti-complementari/fassanet-solid-maxi-system-sistema-di-rinforzo-crm-per-elementi-strutturali-in-muratura-composto-da-una-rete-e-da-elementi-angolari-in-fibra-di-vetro-ar-da-connettori-preformati-a-forma-di-l-e-da-specifiche-malte-fibrorinforzate
FASSANET ARG PLUS,Fassa Bortolo,Rete d'armatura bidirezionale bilanciata in fibra di vetro alcali-resistente da 305 g/m²,N/A,https://www.fassabortolo.it/documents/10179/1762165/FASSANET_ARG_PLUS.jpg/0af9c3bc-716b-4bbd-91ce-c79ee9085d81,https://www.fassabortolo.it/it/prodotti/-/p/6/4541/sistemi-crm-e-prodotti-complementari/fassanet-arg-plus-rete-darmatura-bidirezionale-bilanciata-in-fibra-di-vetro-alcali-resistente-da-5-g-m
FASSANET ARG SOLID,Fassa Bortolo,Rete d'armatura bidirezionale bilanciata in fibra di vetro alcali-resistente da 450 g/m²,N/A,https://www.fassabortolo.it/documents/10179/2960267/FASSANET_ARG_SOLID.jpg/b9436e22-3dd7-4ff3-8be6-04aaa7e35669,https://www.fassabortolo.it/it/prodotti/-/p/6/4631/sistemi-crm-e-prodotti-complementari/fassanet-arg-solid-rete-darmatura-bidirezionale-bilanciata-in-fibra-di-vetro-alcali-resistente-da-420-g-m
FASSANET ARG SOLID MAXI,Fassa Bortolo,Rete d'armatura bidirezionale bilanciata in fibra di vetro alcali-resistente da 450 g/m²,N/A,https://www.fassabortolo.it/documents/10179/3555770/FASSANET_ARG_SOLID_MAXI.jpg/8ef48a01-f64e-4b9f-9911-ba55afc817c0,https://www.fassabortolo.it/it/prodotti/-/p/6/5145/sistemi-crm-e-prodotti-complementari/fassanet-arg-solid-maxi-rete-darmatura-bidirezionale-bilanciata-in-fibra-di-vetro-alcali-resistente-da-450-g-m-per-la-realizzazione-di-presidi-antisfondellamento
FASSA ARG-ANGLE,Fassa Bortolo,Elemento angolare preformato in fibra di vetro alcali-resistente,N/A,https://www.fassabortolo.it/documents/10179/1913543/FASSA_ARG-ANGLE.jpg/05c18808-ef3f-4b5d-adf9-e134b21bdb61,https://www.fassabortolo.it/it/prodotti/-/p/6/4542/sistemi-crm-e-prodotti-complementari/fassa-arg-angle-elemento-angolare-preformato-in-fibra-di-vetro-alcali-resistente
FASSA GLASS CONNECTOR L,Fassa Bortolo,"Connettore preformato a forma di L costituito da fibre di vetro AR e resina epossidica, irruvidito con quarzo minerale selezionato al fine di garantire una perfetta adesione alla matrice inorganica",N/A,https://www.fassabortolo.it/documents/10179/919854/FASSA_GLASS_CONNECTOR_L_intera.jpg/57fd821a-bca2-4c40-967e-337923774478,https://www.fassabortolo.it/it/prodotti/-/p/6/4543/sistemi-crm-e-prodotti-complementari/fassa-glass-connector-l-connettore-preformato-a-forma-di-l-costituito-da-fibre-di-vetro-ar-e-resina-epossidica-irruvidito-con-quarzo-minerale-selezionato-al-fine-di-garantire-una-perfetta-adesione-alla-matrice-inorganica
FASSA ANCHOR V,Fassa Bortolo,Fissaggio chimico a base di resina vinilestere senza stirene per carichi strutturali,N/A,https://www.fassabortolo.it/documents/10179/544224/FASSA_ANCHOR_V_400ml.jpg/b0386a1b-5089-469d-b8d2-46a9fbbfd575,https://www.fassabortolo.it/it/prodotti/-/p/6/4593/sistemi-crm-e-prodotti-complementari/fassa-anchor-v-fissaggio-chimico-a-base-di-resina-vinilestere-senza-stirene
BIO-MALTA STRUTTURALE M10,Fassa Bortolo,"Bio-malta fibrorinforzata strutturale M10 a base di calce aerea ed eco-pozzolane, priva di cemento per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3893411/BIO_MALTA_STRUTTURALE_M10.jpg/e3beb15e-5837-467b-8bb4-63066ff01fa9,https://www.fassabortolo.it/it/prodotti/-/p/6/5146/sistemi-crm-e-prodotti-complementari/bio-malta-strutturale-m10-bio-malta-fibrorinforzata-strutturale-m10-a-base-di-calce-aerea-ed-eco-pozzolane-priva-di-cemento-per-interni-ed-esterni
MALTA STRUTTURALE NHL 770,Fassa Bortolo,"Bio-malta fibrorinforzata strutturale a base di calce idraulica naturale NHL 3,5 per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3425069/MALTA_STRUTTURALE_NHL_770.jpg/c6f7da8b-b43c-40c6-a4d3-02e2780d3c74,https://www.fassabortolo.it/it/prodotti/-/p/6/5147/sistemi-crm-e-prodotti-complementari/malta-strutturale-nhl-770-bio-malta-fibrorinforzata-strutturale-a-base-di-calce-idraulica-naturale-nhl-3-5-per-interni-ed-esterni
MALTA STRUTTURALE NHL 777,Fassa Bortolo,"Bio-malta fibrorinforzata strutturale a base di calce idraulica naturale NHL 3,5 per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/531777/MALTA_STRUTTURALE_NHL_777.jpg/2d834c92-d11f-441c-a0b6-3d4cf19622af,https://www.fassabortolo.it/it/prodotti/-/p/6/4594/sistemi-crm-e-prodotti-complementari/malta-strutturale-nhl-777-bio-malta-fibrorinforzata-ad-alte-prestazioni-meccaniche-a-base-di-calce-idraulica-naturale-per-interni-ed-esterni
MALTA STRUTTURALE NHL 712,Fassa Bortolo,"Bio-malta fibrorinforzata strutturale a base di calce idraulica naturale NHL 3,5 per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/531563/MALTA_STRUTTURALE_NHL_712.jpg/e5e45b7f-1a5d-4cb4-80bd-2c39b7f02557,https://www.fassabortolo.it/it/prodotti/-/p/6/4595/sistemi-crm-e-prodotti-complementari/malta-strutturale-nhl-712-bio-malta-fibrorinforzata-ad-alte-prestazioni-meccaniche-a-base-di-calce-idraulica-naturale-per-interni-ed-esterni
FASSANET ZR SYSTEM,Fassa Bortolo,"FASSANET ZR SYSTEM è un sistema di rinforzo FRCM composto da una rete in fibra di vetro AR, e da una specifica malta monocomponente polimero modificata e fibrorinforzata",N/A,https://www.fassabortolo.it/documents/10179/3369777/FASSANET_ZR_SYSTEM.jpg/8b963fd1-e69d-494c-bdc0-2e6219d645dd,https://www.fassabortolo.it/it/prodotti/-/p/6/4914/sistemi-frcm-e-prodotti-complementari/fassanet-zr-system-fassanet-zr-system-e-un-sistema-di-rinforzo-frcm-composto-da-una-rete-in-fibra-di-vetro-ar-e-da-una-specifica-malta-monocomponente-polimero-modificata-e-fibrorinforzata
FASSANET ZR NHL SYSTEM,Fassa Bortolo,"FASSANET ZR NHL SYSTEM è un sistema di rinforzo FRCM composto da una rete in fibra di vetro AR, e da una specifica malta monocomponente a base di calce idraulica naturale NHL 3.5",N/A,https://www.fassabortolo.it/documents/10179/4482194/FASSANET_ZR_NHL_SYSTEM.jpg/059890db-3ba2-4ebf-adc0-491432911d2f,https://www.fassabortolo.it/it/prodotti/-/p/6/5173/sistemi-frcm-e-prodotti-complementari/fassanet-zr-nhl-system-fassanet-zr-nhl-system-e-un-sistema-di-rinforzo-frcm-composto-da-una-rete-in-fibra-di-vetro-ar-e-da-una-specifica-malta-monocomponente-a-base-di-calce-idraulica-naturale-nhl-35
FASSATEX STEEL SYSTEM,Fassa Bortolo,Sistema di rinforzo FRCM composto dal tessuto unidirezionale in fibra di acciaio inox FASSATEX STEEL 650 e dalla matrice monocomponente ad alta resistenza SISMA R4.,N/A,https://www.fassabortolo.it/documents/10179/3369914/FASSATEX_STEEL_SYSTEM.jpg/df55f228-9e25-42ad-9136-552dacf55264,https://www.fassabortolo.it/it/prodotti/-/p/6/4915/sistemi-frcm-e-prodotti-complementari/fassatex-steel-system-fassatex-steel-system-e-un-sistema-di-rinforzo-frcm-composto-dal-tessuto-unidirezionale-in-fibra-di-acciaio-inox-fassatex-steel-650-e-dalla-matrice-monocomponente-ad-alta-resistenza-sisma-r4
FASSATEX STEEL NHL SYSTEM,Fassa Bortolo,FASSATEX STEEL NHL SYSTEM è un sistema di rinforzo FRCM composto dal tessuto unidirezionale in fibra di acciaio inox FASSATEX STEEL 650 e dalla matrice monocomponente a base di calce idraulica naturale SISMA NHL FINO.,N/A,https://www.fassabortolo.it/documents/10179/3370027/FASSATEX_STEEL_NHL_SYSTEM.jpg/6fcf0397-8fc3-4501-a5e2-2e099b3057ac,https://www.fassabortolo.it/it/prodotti/-/p/6/4916/sistemi-frcm-e-prodotti-complementari/fassatex-steel-nhl-system-fassatex-steel-nhl-system-e-un-sistema-di-rinforzo-frcm-composto-dal-tessuto-unidirezionale-in-fibra-di-acciaio-inox-fassatex-steel-650-e-dalla-matrice-monocomponente-a-base-di-calce-idraulica-naturale-sisma-nhl-fino
FASSANET ZR 185,Fassa Bortolo,"Rete d'armatura bidirezionale bilanciata in fibra di vetro alcali-resistente per la realizzazione di sistemi FRCM, di presidi antiribaltamento e antisfondellamento",N/A,https://www.fassabortolo.it/documents/10179/546226/FASSANET_ZR_185.jpg/d0385fc5-792d-49ab-8137-56301d819014,https://www.fassabortolo.it/it/prodotti/-/p/6/4562/sistemi-frcm-e-prodotti-complementari/fassanet-zr-185-rete-darmatura-in-fibra-di-vetro-alcali-resistente-185-g-m
FASSANET ZR 350,Fassa Bortolo,Rete d'armatura bidirezionale bilanciata in fibra di vetro alcali-resistente per la realizzazione di sistemi FRCM e di presidi antiribaltamento,N/A,https://www.fassabortolo.it/documents/10179/3555813/FASSANET_ZR_350.jpg/432aefb4-7172-4fb2-9a22-cb05c79085da,https://www.fassabortolo.it/it/prodotti/-/p/6/5176/sistemi-frcm-e-prodotti-complementari/fassanet-zr-350-rete-bidirezionale-bilanciata-in-fibra-di-vetro-alcali-resistente-per-la-realizzazione-di-presidi-antiribaltamento
SISMA R2,Fassa Bortolo,Malta cementizia monocomponente polimero-modificata e fibrorinforzata ad elevata adesione specifica come matrice inorganica per sistemi FRCM,N/A,https://www.fassabortolo.it/documents/10179/1237102/SISMA_R2.jpg/b2c0bf4c-f766-4338-9eb9-5e79496d8981,https://www.fassabortolo.it/it/prodotti/-/p/6/4862/sistemi-frcm-e-prodotti-complementari/sisma-r2-malta-cementizia-monocomponente-polimero-modificata-e-fibrorinforzata-ad-elevata-adesione-specifica-come-matrice-inorganica-per-sistemi-frcm
FASSA GLASS CONNECTOR L,Fassa Bortolo,"Connettore preformato a forma di L costituito da fibre di vetro AR e resina epossidica, irruvidito con quarzo minerale selezionato al fine di garantire una perfetta adesione alla matrice inorganica",N/A,https://www.fassabortolo.it/documents/10179/919854/FASSA_GLASS_CONNECTOR_L_intera.jpg/57fd821a-bca2-4c40-967e-337923774478,https://www.fassabortolo.it/it/prodotti/-/p/6/4564/sistemi-frcm-e-prodotti-complementari/fassa-glass-connector-l-connettore-preformato-a-forma-di-l-costituito-da-fibre-di-vetro-ar-e-resina-epossidica-irruvidito-con-quarzo-minerale-selezionato-al-fine-di-garantire-una-perfetta-adesione-alla-matrice-inorganica
BUSSOLA RETINATA,Fassa Bortolo,Bussola retinata realizzata con una rete in acciaio zincato,N/A,https://www.fassabortolo.it/documents/10179/4024383/BUSSOLA_RETINATA.jpg/12f57f8f-3740-47d3-9c50-03460c828f63,https://www.fassabortolo.it/it/prodotti/-/p/6/5111/sistemi-frcm-e-prodotti-complementari/bussola-retinata-bussola-retinata-realizzata-con-una-rete-in-acciaio-zincato
FASSA ANCHOR V,Fassa Bortolo,Fissaggio chimico a base di resina vinilestere senza stirene per carichi strutturali,N/A,https://www.fassabortolo.it/documents/10179/544224/FASSA_ANCHOR_V_400ml.jpg/b0386a1b-5089-469d-b8d2-46a9fbbfd575,https://www.fassabortolo.it/it/prodotti/-/p/6/4867/sistemi-frcm-e-prodotti-complementari/fassa-anchor-v-fissaggio-chimico-a-base-di-resina-vinilestere-senza-stirene
FASSAWRAP GLASS,Fassa Bortolo,Connettore strutturale in fibra di vetro AR unidirezionale ad alta resistenza,N/A,https://www.fassabortolo.it/documents/10179/1756848/FASSAWRAP_GLASS.jpg/f488e74c-b1ee-4efb-b26e-5a7cf30e06b2,https://www.fassabortolo.it/it/prodotti/-/p/6/4563/sistemi-frcm-e-prodotti-complementari/fassawrap-glass-connettore-strutturale-in-fibra-di-vetro-ar-unidirezionale-ad-alta-resistenza
FASSA EPOXY 200,Fassa Bortolo,Adesivo epossidico per l'impregnazione e l'incollaggio nei sistemi di rinforzo FASSATEX CARBON SYSTEM e FASSATEX GLASS SYSTEM e per l'impregnazione dei connettori della linea FASSAWRAP,N/A,https://www.fassabortolo.it/documents/10179/1506754/Fassa_EPOXY_200.jpg/bc218102-3528-40fe-b361-fee3ab8b797d,https://www.fassabortolo.it/it/prodotti/-/p/6/4863/sistemi-frcm-e-prodotti-complementari/fassa-epoxy-2-adesivo-epossidico-per-limpregnazione-e-lincollaggio-nei-sistemi-di-rinforzo-fassatex-carbon-system-e-fassatex-glass-system-e-per-limpregnazione-dei-connettori-della-linea-fassawrap
FASSATEX STEEL 650,Fassa Bortolo,Tessuto in fibra di acciaio inossidabile unidirezionale per la realizzazione di sistemi FRCM,N/A,https://www.fassabortolo.it/documents/10179/3375363/FASSATEX_STEEL_650.jpg/ce321c94-47e0-41a8-a7b3-888a0cf08965,https://www.fassabortolo.it/it/prodotti/-/p/6/4864/sistemi-frcm-e-prodotti-complementari/fassatex-steel-650-tessuto-in-fibra-di-acciaio-galvanizzato-unidirezionale-termofissato-su-rete-in-vetro-per-la-realizzazione-di-sistemi-frcm
SISMA R4,Fassa Bortolo,"Malta cementizia monocomponente tixotropica, polimero-modificata e fibrorinforzata ad elevata adesione per il rinforzo, la riparazione e la protezione di strutture in calcestruzzo e per sistemi FRCM",N/A,https://www.fassabortolo.it/documents/10179/1237173/SISMA_R4.jpg/8eb7d852-d54b-4176-94e4-f0cc0edbbf0c,https://www.fassabortolo.it/it/prodotti/-/p/6/4866/sistemi-frcm-e-prodotti-complementari/sisma-r4-malta-cementizia-monocomponente-polimero-modificata-e-fibrorinforzata-ad-elevata-adesione-per-il-rinforzo-la-riparazione-e-la-protezione-di-strutture-in-calcestruzzo
SISMA NHL FINO,Fassa Bortolo,Malta strutturale a grana fine a base di calce idraulica naturale specifica come matrice inorganica per sistemi FRCM,N/A,https://www.fassabortolo.it/documents/10179/1236705/SISMA_NHL_FINO.jpg/bb67eefc-0932-443d-911b-5dd687912217,https://www.fassabortolo.it/it/prodotti/-/p/6/4865/sistemi-frcm-e-prodotti-complementari/sisma-nhl-fino-malta-strutturale-a-grana-fine-a-base-di-calce-idraulica-naturale-specifica-come-matrice-inorganica-per-sistemi-frcm
FASSA STEEL CONNECTOR,Fassa Bortolo,Connettore in acciaio inossidabile costituito da trefoli unidirezionali ad elevata resistenza,N/A,https://www.fassabortolo.it/documents/10179/866215/FASSA_STEEL_CONNECTOR_5_MM.jpg/46d4a6d0-1876-4e87-b4dc-a5eaddb52945,https://www.fassabortolo.it/it/prodotti/-/p/6/4917/sistemi-frcm-e-prodotti-complementari/fassa-steel-connector-connettore-in-acciaio-galvanizzato-costituito-da-trefoli-unidirezionali-ad-elevata-resistenza
