nome_prodotto,marca,descrizione,url_immagine
GHO 12V-20 Professional Pialletto a batteria,Bosch,"Baricentro ottimizzato per un utilizzo dell’utensile comodo ed ergonomico
Il motore EC brushless e il sistema da 12 V contribuiscono a rendere compatto il design dell’utensile
La libertà di lavorare senza cavo garantisce la migliore capacità di funzionamento in qualsiasi posizione di lavoro",https://www.bosch-professional.com/it/it/ocsmedia/375720-54/application-image/1434x828/pialletto-a-batteria-gho-12v-20-06015a7002.png
GAS 12V Professional Aspiratore a batteria,Bosch,"Questo aspiratore a batteria, concepito per aspirazione a secco, offre la libertà di pulire senza che occorra una presa di corrente
Struttura estremamente compatta, per una pratica maneggevolezza
Si può riporre anche nella più piccola valigetta L-BOXX 102, per un trasporto pratico",https://www.bosch-professional.com/it/it/ocsmedia/376108-54/application-image/1434x828/aspiratore-a-batteria-gas-12v-06019e3000.png
GDS 12V-115 Professional Avvitatori a massa battente a batteria,Bosch,"Impiego ideale, anche negli spazi più ristretti e negli impieghi sopra testa, grazie alla struttura compatta
Sistema Power Control a 2 livelli, per prevenire la torsione di piccole viti e per avvitamenti più precisi
Indicato per i normali impieghi di avvitatori a massa battente a batteria, grazie alla coppia da ben 115 Nm",https://www.bosch-professional.com/it/it/ocsmedia/376022-54/application-image/1434x828/avvitatori-a-massa-battente-a-batteria-gds-12v-115-06019e0102.png
GOP 12V-28 Professional Utensile multifunzione a batteria,Bosch,"Superiore interfaccia Starlock della geometria tridimensionale ottimizzata senza gioco, per un trasferimento diretto della potenza
Grazie alla piccolissima impugnatura l’utensile multifunzione risulta molto ergonomico e facile da utilizzare
Design leggero per un’eccellente maneggevolezza e una migliore ergonomia",https://www.bosch-professional.com/it/it/ocsmedia/299722-54/application-image/1434x828/utensile-multifunzione-a-batteria-gop-12v-28-06018b5002.png
"GUS 10,8 V-LI Professional Cesoia universale a batteria",Bosch,"Lama multi-materiale autoaffilante, per un impiego molto versatile
Rapido avanzamento, grazie al numero di giri a vuoto e alla velocità di rotazione ottimizzati per materiali teneri e flessibili
Prestazioni elevate, per tagliare fino a 150 m/Ah",https://www.bosch-professional.com/it/it/ocsmedia/376156-54/application-image/1434x828/cesoia-universale-a-batteria-gus-10-8-v-li-06019b2905.png
GAL 12V/18V-80 Professional Caricabatteria,Bosch,"Semplice e pratico, un caricabatteria per tutte le batterie Bosch Professional da 12 V e 18 V
Ricarica rapida con corrente di 8 A che ricarica completamente una batteria da 18 V 5,5 Ah in 46 minuti e una da 12 V 4,0 Ah in 37 minuti
Riduce i tempi di inattività grazie all’intelligente funzione Active Air Cooling 3.0, raffreddando la batteria prima, durante e dopo la ricarica
Pratico e compatto grazie alla soluzione bay-in-bay",https://www.bosch-professional.com/it/it/ocsmedia/478995-54/application-image/1434x828/caricabatteria-gal-12v-18v-80-1600a037ch.png
GKS 12V-26 Professional Sega circolare a batteria,Bosch,"Struttura particolarmente compatta, per un impiego pratico e per tagliare con facilità
Ridotta circonferenza dell’impugnatura e peso ridotto, per un controllo agevole
Piena compatibilità con il sistema di binari di guida Bosch (con adattatore)",https://www.bosch-professional.com/it/it/ocsmedia/375735-54/application-image/1434x828/sega-circolare-a-batteria-gks-12v-26-06016a1002.png
GLI 12V-330 Professional Torcia a batteria,Bosch,"La lampada è dotata di 10 LED ad alta intensità con due livelli di luminosità, per un’illuminazione ottimale
La dotazione comprende un potente magnete, un moschettone, un gancio e angolazione regolabile fino a 200°, per un’installazione rapida e versatile",https://www.bosch-professional.com/it/it/ocsmedia/375963-54/application-image/1434x828/torcia-a-batteria-gli-12v-330-06014a0000.png
GST 12V-70 Professional Seghetto alternativo a batteria,Bosch,"Impugnatura assiale e struttura compatta e leggera, per una maneggevolezza ideale anche nei tagli dal basso
Impugnatura molto vicina alla linea di taglio, per una perfetta maneggevolezza
Sistema senza attrezzi SDS Bosch, per sostituire la lama con facilità",https://www.bosch-professional.com/it/it/ocsmedia/376129-54/application-image/1434x828/seghetto-alternativo-a-batteria-gst-12v-70-06015a1002.png
GSC 12V-13 Professional Cesoia per lamiera,Bosch,"Straordinariamente compatta ed ergonomica, ideale per eseguire tagli rapidi
Testa della cesoia concepita per un’eccellente maneggevolezza nei tagli curvi
Indicata per tagliare su un’ampia gamma di materiali metallici fino a 1,3 mm di spessore",https://www.bosch-professional.com/it/it/ocsmedia/299699-54/application-image/1434x828/cesoia-per-lamiera-gsc-12v-13-060192610a.png
