nome_prodotto,marca,descrizione,url_immagine
"Set di punte PRO Ceramic dry Per trapani a percussione/avvitatori a impulsi, Per trapani/avvitatori rotanti",Bosch,"Lunga durata nella foratura di piastrelle in ceramica dura e morbida
Grana e matrice al diamante di alta qualità per durata e precisione",https://www.bosch-professional.com/it/it/ocsmedia/471149-82/product-image/720x410/set-di-punte-pro-ceramic-dry-6-x-66-6-x-66-8-x-66-mm-3-pz-2607011626.png
Mola a tazza PRO Concrete Per levigatrici per calcestruzzo,Bosch,"Lunga durata nella smerigliatura del calcestruzzo
Il design a doppia fila garantisce una lunga durata
Con foro di 22,23 mm per levigatrice per calcestruzzo e smerigliatrici angolari con dado di bloccaggio",https://www.bosch-professional.com/it/it/ocsmedia/452906-82/product-image/720x410/mola-a-tazza-pro-concrete-50-x-125-mm-22-23-mm-2608601762.png
Corona PRO a secco Per trapani carotatori,Bosch,"Lunga durata nella foratura a secco della muratura
Grana e matrice al diamante di alta qualità per durata e precisione
Per punte diamantate filettate da 1/2""",https://www.bosch-professional.com/it/it/ocsmedia/478006-82/product-image/720x410/corona-pro-a-secco-3088561.png
Punta PRO Ceramic dry Per trapani/avvitatori rotanti,Bosch,"Lunga durata nella foratura di piastrelle in ceramica dura e morbida
Grana e matrice al diamante di alta qualità per durata e precisione
Codolo cilindrico compatibile con mandrini a tre ganasce",https://www.bosch-professional.com/it/it/ocsmedia/478056-82/product-image/720x410/punta-pro-ceramic-dry-3088634.png
Mola a tazza PRO Concrete Per levigatrici per calcestruzzo,Bosch,"Velocità nella smerigliatura del calcestruzzo
Grandi fessure per la polvere assicurano un rapido avanzamento del lavoro
Con foro di 22,23 mm per levigatrice per calcestruzzo e smerigliatrici angolari con dado di bloccaggio",https://www.bosch-professional.com/it/it/ocsmedia/452908-82/product-image/720x410/mola-a-tazza-pro-concrete-50-x-125-mm-22-23-mm-2608601763.png
Segmenti per corona PRO a secco Per trapani carotatori,Bosch,"Lunga durata nella foratura a secco della muratura
Grana e matrice al diamante di alta qualità per durata e precisione",https://www.bosch-professional.com/it/it/ocsmedia/467833-82/product-image/720x410/segmenti-per-corona-pro-a-secco-3088562.png
Mola a tazza PRO Abrasive Per levigatrici per calcestruzzo,Bosch,"Lunga durata nel taglio dei materiali abrasivi
Grana e matrice al diamante di alta qualità per durata e precisione
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/452912-82/product-image/720x410/mola-a-tazza-pro-abrasive-50-x-125-mm-22-23-mm-2608602553.png
Corona PRO Ceramic dry Per piccole smerigliatrici angolari,Bosch,"Lunga durata nella foratura a secco della muratura
Grana e matrice al diamante di alta qualità per durata e precisione
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478029-82/product-image/720x410/corona-pro-ceramic-dry-3088563.png
Corona PRO Ceramic dry Per piccole smerigliatrici angolari,Bosch,"Lunga durata nella foratura a secco della muratura
Grana e matrice al diamante di alta qualità per durata e precisione
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/480217-82/product-image/720x410/corona-pro-ceramic-dry-3088564.png
Dischi diamantati PRO Abrasive Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di materiali abrasivi
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478119-82/product-image/720x410/dischi-diamantati-pro-abrasive-3088599.png
"Disco diamantato PRO Asphalt Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio dell'asfalto
I segmenti diamantati alti durano più a lungo
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478138-82/product-image/720x410/disco-diamantato-pro-asphalt-3088620.png
Disco diamantato PRO Marble Per piccole smerigliatrici angolari,Bosch,"Taglio di precisione del marmo
Grana al diamante elettrodepositata per tagli puliti e precisi
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478129-82/product-image/720x410/disco-diamantato-pro-marble-3088614.png
