name,brand,description,price,image_url,product_page_url
SAITDIAM-CT CS CORONA CONTINUA,SAIT,Disco professionale sottile a corona continua di livello PREMIUM per il taglio estremamente preciso e privo di scheggiature di ceramiche smaltate e delicate.,N/A,https://www.sait-abr.com/68354-large_default/sait-saitdiam-disco-diamantato-taglio-corona-continua-cs.jpg,https://www.sait-abr.com/it/premium/2631-45120-sait-saitdiam-disco-diamantato-taglio-corona-continua-cs.html#/34655-imballo-3/39319-diametro-115/39406-prodotto-saitdiam_ct_cs/39500-foro_centrale-2223/40005-spessore-12
GIRAFFA GE 5 + SH Kit,SAIT,"Levigatrice Giraffa per pareti e soffitti
Tensione di rete: V/Hz 230/50Potenza assorbita: 500WPotenza erogata: 270WNr. di giri a vuoto: 1100-1650/minØ disco abrasivo: 225 mmAttacco utensile: a strappoAngolo d’inclinazione testa: 100°Lunghezza: 1520 mmLunghezza cavo: 5 mPeso: 3,9 KgIn dotazione:- Tubo di aspirazione antistatico Ø 32 mm x 4 m con attacco a scatto e manicotto, con regolazione dell’aria secondaria- 1 platorello autoaggrappante supersoft- 1 anello di serraggio rapido",N/A,https://www.sait-abr.com/73425-large_default/rotativa-mafx-w.jpg,https://www.sait-abr.com/it/flex/2788-36740-rotativa-mafx-w.html#
SAITAC-RL 4V,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Basso intasamento.- Finitura accurata.",N/A,https://www.sait-abr.com/76280-large_default/sait-rotolo-largo-carta-abrasiva-saitac-4s.jpg,https://www.sait-abr.com/it/gamma-completa/2892-sait-rotolo-largo-carta-abrasiva-saitac-4s.html
SAITLAM-PK Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",N/A,https://www.sait-abr.com/75717-large_default/sait-premium-saitlam-pkz.jpg,https://www.sait-abr.com/it/premium/381-40767-sait-premium-saitlam-pkz.html#/34896-imballo-20/35481-grana-40/39237-dimensioni-115_x_2223/39247-prodotto-saitlam_pk_z
L8-11 125,SAIT,"Smerigliatrice angolare 800 watt - Ø mola/disco 115-125 mm
• Forma compatta, sottile ed ergonomica, leggera e maneggevole.• Ottima protezione antipolvere del motore e degli ingranaggi.• Motore ad alto rendimento per elevate prestazioni.• Blocco contro partenze dopo l’interruzione della corrente.• Interruttore scorrevole con arresto.• Cuffia di protezione regolabile senza chiavi.• Arresto dell’albero porta utensile.",N/A,https://www.sait-abr.com/73429-large_default/rotativa-mafx-w.jpg,https://www.sait-abr.com/it/flex/2789-rotativa-mafx-w.html
PLANET-MARS   Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela in zirconio. Impiego universale.
Specifico per metalli ferrosi e non ferrosi.",N/A,https://www.sait-abr.com/76043-large_default/sait-planet-mars.jpg,https://www.sait-abr.com/it/planet/91-40922-sait-planet-mars.html#/34754-imballo-100/35481-grana-40/39237-dimensioni-115_x_2223/39266-prodotto-planet_mars_z
SAITDIAM-CT GR CORONA CONTINUA,SAIT,"Disco professionale a corona continua di livello TOP per il taglio senza scheggiature e veloce di ceramiche, gres porcellanato smaltato e klinker anche di alto spessore.
- Eccellenti prestazioni.- Lunga durata.",N/A,https://www.sait-abr.com/68357-large_default/sait-saitdiam-disco-diamantato-taglio-corona-continua-gr.jpg,https://www.sait-abr.com/it/top/2633-45112-sait-saitdiam-disco-diamantato-taglio-corona-continua-gr.html#/34538-imballo-1/39405-prodotto-saitdiam_ct_gr/39498-diametro-230/39500-foro_centrale-2223/39564-spessore-20
L 10-10 125,SAIT,"Smerigliatrice angolare 1010 watt - Ø mola/disco 115-125 mm
• Forma compatta, ergonomica, perfetta da impugnare.• Triplice protezione antipolvere degli avvolgimenti indotto. Riduce l'usura del motore ed aumenta la durata.• Blocco contro partenze dopo l'interruzione della corrente.• Griglia di protezione rinforzata sulla testa dell’avvolgimento.• Rivestimento dell’avvolgimento dello statore con polveri epossidiche.• Cuffia di protezione regolabile senza chiavi.• Arresto dell’albero porta utensile.",N/A,https://www.sait-abr.com/73431-large_default/rotativa-mafx-w.jpg,https://www.sait-abr.com/it/flex/2790-rotativa-mafx-w.html
SAITLAM-DOUBLE   Z,SAIT,"Disco abrasivo lamellare a doppia lamella con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",N/A,https://www.sait-abr.com/75870-large_default/sait-winner-saitlam-double.jpg,https://www.sait-abr.com/it/winner/2771-40900-sait-winner-saitlam-double.html#/34552-imballo-10/35561-grana-36/38859-prodotto-saitlam_double_z/39238-dimensioni-180_x_2223
ESPOSITORE GP,SAIT,"Espositore da parete completo di barre porta ganci, 1 ripiano in lamiera piegata e una struttura porta rotoli.Adatto a mole, dischi lamellari, dischi su fibra, dischi di carta/tela, nastri per macchine portatili, fogli, minirotoli ed accessori.L’insegna retroilluminata con illuminazione a led può essere fissata sopra il corpo dell’espositore all’altezza desiderata.
Dimensioni H x L x P (cm): 210÷223 x 93÷104 x 50.",N/A,https://www.sait-abr.com/76223-large_default/sait-espositore-parete-gp.jpg,https://www.sait-abr.com/it/espositori-e-portarotoli/2729-sait-espositore-parete-gp.html
