nome,marca,descrizione,immagine,link
GLITTERY,San Marco,"Glitter argentati in gel trasparente, da miscelare alla pittura bianca, colorata o decorativa per realizzare una perfetta pittura con brillantini",https://egress.storeden.net/jpg/67e11f9bbe7ea0a5210ecf17,/product/26328851/glittery
PAENINSULA ULTRAMATT,San Marco,"Pittura decorativa per interni ad effetto ultraopaco che permette di ottenere finiture uniformi ed eleganti; ad elevato potere coprente, è facilmente applicabile a pennello o rullo.",https://egress.storeden.net/jpg/67ed04cae39ee1b777a30f5f,/product/21101896/paeninsula-ultramatt
PAENINSULA EGGSHELL,San Marco,"Pittura decorativa per interni ad effetto eggshell che permette di ottenere finiture opache ad effetto guscio d'uovo; ad elevato potere coprente, è facilmente applicabile a pennello o rullo.",https://egress.storeden.net/jpg/67ed0520e39ee1fb77a30f58,/product/21101891/paeninsula-eggshell
SAGREDO,San Marco,"Pittura decorativa per interni ad effetto superopaco bitonale che crea profonde e raffinate sfaccettature; sempre di tendenza, si adatta a diversi stili di arredamento; si applica a spatola.",https://egress.storeden.net/jpg/681e9771e39ee1df43f4584f,/product/20771752/sagredo
FONTEGO,San Marco,Pittura decorativa per interni ad effetto opaco e vellutato; permette di ricreare ambientazioni eleganti e contemporanee; si applica con frattazzo.,https://egress.storeden.net/jpg/6811f564e39ee1ccdf1e83f3,/product/20248708/fontego
CADORO,San Marco,"Pittura decorativa per interni ad effetto iridescente; consente di ottenere pareti luminose e cangianti, variabili a seconda della luce; si stende con pennello o frattazzo.",https://egress.storeden.net/jpg/681e972de39ee1e043f457e6,/product/20248546/cadoro
CADORO VELVET,San Marco,Pittura decorativa per interni ad effetto velluto con microbrillantini iridescenti; permette di ottenere effetti estetici nuvolati e morbide ombreggiature; stendere con pennello o frattazzo.,https://egress.storeden.net/jpg/681e9734be7ea08314a20e40,/product/20248580/cadoro-velvet
MARCOPOLO,San Marco,"Pittura decorativa per interni ad effetto sabbiato metallizzato; a base d'acqua e pronta all’uso, si stende facilmente con pennello.",https://egress.storeden.net/jpg/681e973be39ee1e643f457ef,/product/20248585/marcopolo
MARCOPOLO SABLÈ,San Marco,"Pittura decorativa per interni ad effetto sabbiato opaco; perfetta per creare pareti dall’aspetto unico con una gradevole ruvidità al tatto; pronta all'uso, si stende facilmente a pennello.",https://egress.storeden.net/jpg/681e974ee39ee1b942f4583a,/product/20248626/marcopolo-sable
MARCOPOLO LUXURY,San Marco,Pittura decorativa per interni ad effetto metallizzato fine; consente di ottenere forti contrasti di brillantezza e raffinati riflessi; pronta all'uso si stende facilmente a pennello.,https://egress.storeden.net/jpg/681e975ae39ee1df43f45828,/product/20248642/marcopolo-luxury
