nome,descrizione,colori,immagine,marca
Derivazione 87°30′ ridotta doppia Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DRTS10D55-4-scaled.jpg,First Corporation
Derivazione doppia 45° Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DPS45100-4-scaled.jpg,First Corporation
Estrattore statico,Favorisce il tiraggio della colonna di ventilazione anche in condizioni atmosferiche avverse Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/ES100RT-1024x920.jpg,First Corporation
Giunto di dilatazione con O’ ring Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MDS-2-scaled.jpg,First Corporation
Giunto di riparazione Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MRS-2-scaled.jpg,First Corporation
Guarnizione nera per curva WC – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: Gomma.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/GWC100-4-scaled.jpg,First Corporation
Manicotto con battente Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MFS-2-scaled.jpg,First Corporation
Manicotto con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/MFFOA-scaled.jpg,First Corporation
Manicotto con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/MFFO-scaled.jpg,First Corporation
Manicotto senza battente Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CFS-3-scaled.jpg,First Corporation
Paletta di ricambio universale, Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/PAV175N-scaled.jpg,First Corporation
Riduzione concentrica Rossa – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RIOA110100-4-scaled.jpg,First Corporation
Riduzione conica concentrica Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RIS-2-scaled.jpg,First Corporation
Riduzione eccentrica Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RES-2-scaled.jpg,First Corporation
Riduzione incorporata Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RCS-2-scaled.jpg,First Corporation
Sifone Firenze con doppia Ispezione,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SFS2T-scaled.jpg,First Corporation
Sifone Firenze con Ispezione,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SFS-scaled.jpg,First Corporation
Sifone Monolitico,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMS-scaled.jpg,First Corporation
Sifone Monolitico,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMG-scaled.jpg,First Corporation
Sifone Monolitico con O’Ring,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMOG-scaled.jpg,First Corporation
Sifone Monolitico con O’Ring,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMOA-scaled.jpg,First Corporation
Sifone Monolitico O-O,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMV-scaled.jpg,First Corporation
Sifone Monolitico V-O,I sifoni rappresentano i tradizionali sistemi di allaccio fra le reti idriche bianche e nere dei fabbricati e la rete di scarico comunale al fine di evitare il ritorno di odori sgradevoli. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/SMVO-scaled.jpg,First Corporation
